Congruent,Incongruent,Cong > Incong,Diff(Congruent-Incongruent),Sq.Diff
12.079,19.278,TRUE,-7.199,51.825601
16.791,18.741,TRUE,-1.95,3.8025
9.564,21.214,TRUE,-11.65,135.7225
8.63,15.687,TRUE,-7.057,49.801249
14.669,22.803,TRUE,-8.134,66.161956
12.238,20.878,TRUE,-8.64,74.6496
14.692,24.572,TRUE,-9.88,97.6144
8.987,17.394,TRUE,-8.407,70.677649
9.401,20.762,TRUE,-11.361,129.072321
14.48,26.282,TRUE,-11.802,139.287204
22.328,24.524,TRUE,-2.196,4.822416
15.298,18.644,TRUE,-3.346,11.195716
15.073,17.51,TRUE,-2.437,5.938969
16.929,20.33,TRUE,-3.401,11.566801
18.2,35.255,TRUE,-17.055,290.873025
12.13,22.158,TRUE,-10.028,100.560784
18.495,25.139,TRUE,-6.644,44.142736
10.639,20.429,TRUE,-9.79,95.8441
11.344,17.425,TRUE,-6.081,36.978561
12.369,34.288,TRUE,-21.919,480.442561
12.944,23.894,TRUE,-10.95,119.9025
14.233,17.96,TRUE,-3.727,13.890529
19.71,22.058,TRUE,-2.348,5.513104
16.004,21.157,TRUE,-5.153,26.553409
,,,-191.155,2066.840191
,,,,
,,,,
,,,,
,,,,
,,,,
Alpha:,0.05,,DegFreedom :,23
T-critical :,-8.020706944,,p-value:,2.069
